Par1,Par2,P1,P2,P3,P4,Vg11,Vg12,Vg21,Vg22
1,2,c,c',e,e',O,O,O,O
1,2,c,x2,e,e',O,O,O,O
1,2,c,m,e,e',O,O,O,O
1,2,c,m,e,e',O,O,O,O
1,2,c',m,e,e',O,O,O,O
1,2,x2,m,e,e',O,O,O,O
1,2,d',m,e,e',O,O,O,O
1,2,d',m,e,e',O,O,O,O
1,2,d',x2,e,e',O,O,O,O
1,2,d',c',e,e',O,O,O,O
1,2,d',c,e,e',O,O,O,O
1,2,d',c,e,e',O,O,O,O
1,2,x2,c,e,e',O,O,O,O
1,2,c',c,e,e',O,O,O,O
