Par1,Par2,Particle,Path,Vg11,Vg12,Vg21,Vg22
1,2,2,b'-x1-a',O,O,O,O
1,2,1,b-b'-x1-m,O,O,O,O
1,2,2,a'-x1-b'-b,O,O,O,O
1,2,1,m-x1-b',O,O,O,O
1,3,1,b'-x1-a',O,O,O,O
1,3,3,f'-x1-m,S,O,O,O
1,3,1,a'-x1-f',O,S,O,O
1,3,3,m-x1-b',O,S,O,O
2,3,3,b'-x1-a',O,O,O,O
2,3,2,b-b'-x1-m,O,O,O,O
2,3,3,a'-x1-b'-b,O,O,O,O
2,3,2,m-x1-b',O,O,O,O
