Par1,Par2,Particle,Path,Vg11,Vg12,Vg21,Vg22
1,2,2,c'-x2-m,O,O,O,O
1,2,1,c-c'-x2-d',O,O,O,O
1,2,2,m-x2-c'-c,O,O,O,O
1,2,1,d'-x2-c',O,O,O,O
