Par1,Par2,P1,P2,P3,P4,P5,P6,Vg11,Vg12,Vg21,Vg22
3,6,b',b,e,d',d,c',O,O,O,O
3,6,b',b,e',d',d,c',O,O,O,O
3,6,b',b,x2,d',d,c',O,O,O,O
3,6,b',b,m,d',d,c',O,O,O,O
3,6,b',b,m,d',d,c',O,O,O,O
3,6,b',b,m,d',d,x2,O,O,O,O
3,6,b',b,m,d',d,e',O,O,O,O
3,6,b',b,m,d',d,e,O,O,O,O
3,6,b',b,m,d',d,e,O,O,O,O
3,6,b',b,x2,d',d,e,O,O,O,O
3,6,b',b,e',d',d,e,O,O,O,O
4,6,b',b,e',d',d,e,O,O,O,O
4,6,b',b,e',x2,d,e,O,O,O,O
4,6,b',b,e',c',d,e,O,O,O,O
4,6,b',b,e',c',d,e,O,O,O,S
4,6,b',b,x2,c',d,e,O,O,O,S
4,6,b',b,m,c',d,e,O,O,O,S
4,6,b',b,m,c',d,e,O,O,S,O
4,6,b',b,m,c',d,e',O,O,S,O
4,6,b',b,m,c',d,x2,O,O,S,O
4,6,b',b,m,c',d,d',O,O,S,O
4,6,b',b,m,c',d,d',O,O,O,O
4,6,b',b,m,x2,d,d',O,O,O,O
4,6,b',b,m,e',d,d',O,O,O,O
4,6,b',b,m,e,d,d',O,O,O,O
4,6,b',b,m,e,d,d',O,O,O,O
4,6,b',b,x2,e,d,d',O,O,O,O
4,6,b',b,e',e,d,d',O,O,O,O
5,6,b',b,e',e,d,d',O,O,O,O
5,6,b',b,e',e,d,x2,O,O,O,O
5,6,b',b,e',e,d,c',O,O,O,O
5,6,b',b,e',e,d,c',O,O,O,O
5,6,b',b,e',e,d',c',O,O,O,O
5,6,b',b,e',e,x2,c',O,O,O,O
5,6,b',b,e',e,m,c',O,O,O,O
5,6,b',b,e',e,m,c',O,O,O,O
5,6,b',b,e',e,m,x2,O,O,O,O
5,6,b',b,e',e,m,d',O,O,O,O
5,6,b',b,e',e,m,d,O,O,O,O
5,6,b',b,e',e,m,d,O,O,O,O
5,6,b',b,e',e,x2,d,O,O,O,O
5,6,b',b,e',e,d',d,O,O,O,O
